symbol,date,close
MMM,2016-04-01,167.53
MMM,2016-05-02,168.34
MMM,2016-06-01,168.69
MMM,2016-07-01,175.54
MMM,2016-08-01,178.29
MMM,2016-09-01,179.98
MMM,2016-10-03,175.04
MMM,2016-11-01,164.25
MMM,2016-12-01,172.63
MMM,2017-01-03,178.05
MMM,2017-02-01,175.17
MMM,2017-03-01,189.86
MMM,2017-04-03,190.72
MMM,2017-05-01,194.81
MMM,2017-06-01,204.35
MMM,2017-07-03,209.83
MMM,2017-08-01,203.18
MMM,2017-09-01,203.56
MMM,2017-10-02,212.76
MMM,2017-11-01,230.18
MMM,2017-12-01,241.15
MMM,2018-01-02,235.64
MMM,2018-02-01,247.94
MMM,2018-03-01,231.34
MMM,2018-04-02,212.62
MMM,2018-05-01,195.02
MMM,2018-06-01,199.59
MMM,2018-07-02,195.52
MMM,2018-08-01,207.05
MMM,2018-09-04,208.6
MMM,2018-10-01,212.19
MMM,2018-11-01,192.22
MMM,2018-12-03,208.76
MMM,2019-01-02,190.95
MMM,2019-02-01,199.16
MMM,2019-03-01,207.49
MMM,2019-04-01,211.94
MMM,2019-05-01,186.07
AXP,2016-04-01,61.1
AXP,2016-05-02,65.68
AXP,2016-06-01,65.91
AXP,2016-07-01,60.69
AXP,2016-08-01,64.13
AXP,2016-09-01,64.86
AXP,2016-10-03,63.81
AXP,2016-11-01,66.25
AXP,2016-12-01,72.53
AXP,2017-01-03,75.35
AXP,2017-02-01,76.76
AXP,2017-03-01,81.92
AXP,2017-04-03,78.59
AXP,2017-05-01,79.23
AXP,2017-06-01,78.28
AXP,2017-07-03,85.1
AXP,2017-08-01,85.24
AXP,2017-09-01,86.14
AXP,2017-10-02,90.54
AXP,2017-11-01,95.79
AXP,2017-12-01,97.86
AXP,2018-01-02,98.94
AXP,2018-02-01,100.0
AXP,2018-03-01,95.14
AXP,2018-04-02,91.0
AXP,2018-05-01,98.58
AXP,2018-06-01,98.25
AXP,2018-07-02,99.0
AXP,2018-08-01,99.45
AXP,2018-09-04,107.01
AXP,2018-10-01,107.9
AXP,2018-11-01,104.04
AXP,2018-12-03,112.36
AXP,2019-01-02,95.68
AXP,2019-02-01,103.06
AXP,2019-03-01,108.9
AXP,2019-04-01,111.7
AXP,2019-05-01,117.02
AAPL,2016-04-01,109.99
AAPL,2016-05-02,93.64
AAPL,2016-06-01,98.46
AAPL,2016-07-01,95.89
AAPL,2016-08-01,106.05
AAPL,2016-09-01,106.73
AAPL,2016-10-03,112.52
AAPL,2016-11-01,111.49
AAPL,2016-12-01,109.49
AAPL,2017-01-03,116.15
AAPL,2017-02-01,128.75
AAPL,2017-03-01,139.79
AAPL,2017-04-03,143.7
AAPL,2017-05-01,146.58
AAPL,2017-06-01,153.18
AAPL,2017-07-03,143.5
AAPL,2017-08-01,150.05
AAPL,2017-09-01,164.05
AAPL,2017-10-02,153.81
AAPL,2017-11-01,166.89
AAPL,2017-12-01,171.05
AAPL,2018-01-02,172.26
AAPL,2018-02-01,167.78
AAPL,2018-03-01,175.0
AAPL,2018-04-02,166.68
AAPL,2018-05-01,169.1
AAPL,2018-06-01,190.24
AAPL,2018-07-02,187.18
AAPL,2018-08-01,201.5
AAPL,2018-09-04,228.36
AAPL,2018-10-01,227.26
AAPL,2018-11-01,222.22
AAPL,2018-12-03,184.82
AAPL,2019-01-02,157.92
AAPL,2019-02-01,166.52
AAPL,2019-03-01,174.97
AAPL,2019-04-01,191.24
AAPL,2019-05-01,210.52
BA,2016-04-01,126.96
BA,2016-05-02,134.01
BA,2016-06-01,126.41
BA,2016-07-01,129.69
BA,2016-08-01,133.21
BA,2016-09-01,129.9
BA,2016-10-03,132.38
BA,2016-11-01,142.41
BA,2016-12-01,152.39
BA,2017-01-03,156.97
BA,2017-02-01,163.97
BA,2017-03-01,183.91
BA,2017-04-03,176.65
BA,2017-05-01,182.39
BA,2017-06-01,187.32
BA,2017-07-03,198.59
BA,2017-08-01,239.44
BA,2017-09-01,240.33
BA,2017-10-02,255.99
BA,2017-11-01,258.5
BA,2017-12-01,271.38
BA,2018-01-02,296.84
BA,2018-02-01,356.94
BA,2018-03-01,349.69
BA,2018-04-02,322.44
BA,2018-05-01,329.54
BA,2018-06-01,356.72
BA,2018-07-02,336.08
BA,2018-08-01,352.76
BA,2018-09-04,346.25
BA,2018-10-01,382.29
BA,2018-11-01,363.07
BA,2018-12-03,359.96
BA,2019-01-02,323.81
BA,2019-02-01,387.43
BA,2019-03-01,440.62
BA,2019-04-01,391.54
BA,2019-05-01,376.8
CAT,2016-04-01,76.79
CAT,2016-05-02,77.84
CAT,2016-06-01,72.27
CAT,2016-07-01,76.45
CAT,2016-08-01,81.95
CAT,2016-09-01,81.45
CAT,2016-10-03,88.28
CAT,2016-11-01,82.24
CAT,2016-12-01,96.24
CAT,2017-01-03,93.99
CAT,2017-02-01,95.11
CAT,2017-03-01,98.58
CAT,2017-04-03,92.27
CAT,2017-05-01,102.0
CAT,2017-06-01,105.65
CAT,2017-07-03,106.97
CAT,2017-08-01,113.1
CAT,2017-09-01,118.28
CAT,2017-10-02,124.72
CAT,2017-11-01,136.29
CAT,2017-12-01,141.52
CAT,2018-01-02,157.04
CAT,2018-02-01,162.24
CAT,2018-03-01,150.23
CAT,2018-04-02,143.89
CAT,2018-05-01,144.42
CAT,2018-06-01,153.52
CAT,2018-07-02,136.29
CAT,2018-08-01,138.54
CAT,2018-09-04,138.24
CAT,2018-10-01,152.28
CAT,2018-11-01,124.7
CAT,2018-12-03,138.95
CAT,2019-01-02,126.38
CAT,2019-02-01,130.91
CAT,2019-03-01,137.47
CAT,2019-04-01,140.25
CAT,2019-05-01,138.15
CVX,2016-04-01,94.26
CVX,2016-05-02,103.31
CVX,2016-06-01,101.13
CVX,2016-07-01,104.15
CVX,2016-08-01,99.11
CVX,2016-09-01,100.21
CVX,2016-10-03,102.45
CVX,2016-11-01,106.48
CVX,2016-12-01,113.29
CVX,2017-01-03,117.85
CVX,2017-02-01,111.0
CVX,2017-03-01,113.88
CVX,2017-04-03,107.8
CVX,2017-05-01,105.92
CVX,2017-06-01,104.27
CVX,2017-07-03,106.3
CVX,2017-08-01,110.78
CVX,2017-09-01,108.76
CVX,2017-10-02,117.43
CVX,2017-11-01,115.9
CVX,2017-12-01,119.51
CVX,2018-01-02,127.58
CVX,2018-02-01,125.57
CVX,2018-03-01,112.04
CVX,2018-04-02,112.24
CVX,2018-05-01,124.86
CVX,2018-06-01,123.85
CVX,2018-07-02,124.25
CVX,2018-08-01,125.39
CVX,2018-09-04,118.87
CVX,2018-10-01,124.39
CVX,2018-11-01,111.17
CVX,2018-12-03,120.67
CVX,2019-01-02,110.69
CVX,2019-02-01,118.37
CVX,2019-03-01,122.03
CVX,2019-04-01,124.94
CVX,2019-05-01,117.81
CSCO,2016-04-01,28.69
CSCO,2016-05-02,27.37
CSCO,2016-06-01,28.9
CSCO,2016-07-01,28.8
CSCO,2016-08-01,30.73
CSCO,2016-09-01,31.58
CSCO,2016-10-03,31.5
CSCO,2016-11-01,30.48
CSCO,2016-12-01,29.45
CSCO,2017-01-03,30.54
CSCO,2017-02-01,30.5
CSCO,2017-03-01,34.44
CSCO,2017-04-03,33.58
CSCO,2017-05-01,33.97
CSCO,2017-06-01,31.82
CSCO,2017-07-03,31.33
CSCO,2017-08-01,31.65
CSCO,2017-09-01,32.3
CSCO,2017-10-02,33.75
CSCO,2017-11-01,34.62
CSCO,2017-12-01,37.6
CSCO,2018-01-02,38.86
CSCO,2018-02-01,41.7
CSCO,2018-03-01,43.8
CSCO,2018-04-02,41.01
CSCO,2018-05-01,44.83
CSCO,2018-06-01,43.66
CSCO,2018-07-02,42.81
CSCO,2018-08-01,41.86
CSCO,2018-09-04,47.73
CSCO,2018-10-01,48.87
CSCO,2018-11-01,45.65
CSCO,2018-12-03,48.74
CSCO,2019-01-02,42.95
CSCO,2019-02-01,47.34
CSCO,2019-03-01,51.41
CSCO,2019-04-01,54.98
CSCO,2019-05-01,55.58
KO,2016-04-01,46.83
KO,2016-05-02,44.98
KO,2016-06-01,44.7
KO,2016-07-01,45.12
KO,2016-08-01,43.45
KO,2016-09-01,43.35
KO,2016-10-03,42.03
KO,2016-11-01,42.12
KO,2016-12-01,40.17
KO,2017-01-03,41.8
KO,2017-02-01,41.26
KO,2017-03-01,42.16
KO,2017-04-03,42.41
KO,2017-05-01,43.22
KO,2017-06-01,45.79
KO,2017-07-03,44.76
KO,2017-08-01,45.7
KO,2017-09-01,45.78
KO,2017-10-02,44.8
KO,2017-11-01,45.8
KO,2017-12-01,45.97
KO,2018-01-02,45.54
KO,2018-02-01,47.45
KO,2018-03-01,43.43
KO,2018-04-02,42.67
KO,2018-05-01,42.59
KO,2018-06-01,43.12
KO,2018-07-02,43.75
KO,2018-08-01,46.39
KO,2018-09-04,44.76
KO,2018-10-01,46.23
KO,2018-11-01,47.74
KO,2018-12-03,49.69
KO,2019-01-02,46.93
KO,2019-02-01,48.7
KO,2019-03-01,45.38
KO,2019-04-01,46.72
KO,2019-05-01,48.59
DWDP,2016-04-01,34.39
DWDP,2016-05-02,35.41
DWDP,2016-06-01,34.69
DWDP,2016-07-01,33.32
DWDP,2016-08-01,36.08
